Product line,Transactions,Units,Total_Sales,Avg_Sales,Median_Sales,Avg_Rating,Revenue_Share_%
Home & Lifestyle,708,3461,197260.56,278.61661016949154,247.44,6.779378531073447,20.92850647902856
Health & Beauty,958,4296,168570.61,175.96097077244258,125.64,6.867327766179541,17.884624800612936
Sports & Travel,576,2697,164252.94,285.1613541666667,224.025,6.728993055555556,17.426538376396625
Electronics,465,2325,159259.1,342.492688172043,270.99,6.82258064516129,16.89671319088954
Food & Beverages,1670,7309,151357.73,90.63337125748504,31.089999999999996,7.084191616766467,16.058411437927862
Fashion & Accs,676,3123,101843.91,150.65667159763314,85.525,6.697189349112426,10.805205715144483
